Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,instant,ta,0,ba,0
seconds,0.5,,special,tb,30,,
seconds,8,,instant,ta,5,ba,5
seconds,8.5,,special,tb,30,,
seconds,16,,instant,ta,10,ba,10
seconds,16.5,,special,tb,30,,
seconds,24,,instant,ta,15,ba,15
seconds,24.5,,special,tb,30,,
seconds,32,,instant,ta,30,ba,30
seconds,32.5,,special,tb,30,,
seconds,40,,instant,ta,60,ba,60
seconds,40.5,,special,tb,30,,
seconds,48,,instant,ta,90,ba,90
seconds,48.5,,special,tb,30,,
seconds,56,,instant,ta,120,ba,120
seconds,56.5,,special,tb,30,,
seconds,64,,instant,ta,190,ba,190
seconds,64.5,,special,tb,30,,
seconds,72,,instant,ta,255,ba,255
seconds,72.5,,special,tb,30,,
seconds,80,,instant,ta,255,ba,255
