Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,instant,ta,0,ba,0
seconds,0.5,,special,tb,50,,
seconds,13,,instant,ta,30,ba,30
seconds,13.5,,special,tb,50,,
seconds,26,,instant,ta,60,ba,60
seconds,26.5,,special,tb,50,,
seconds,39,,instant,ta,90,ba,90
seconds,39.5,,special,tb,50,,
seconds,52,,instant,ta,120,ba,120
seconds,52.5,,special,tb,50,,
seconds,65,,instant,ta,150,ba,150
seconds,65.5,,special,tb,50,,
seconds,78,,instant,ta,180,ba,180
seconds,78.5,,special,tb,50,,
seconds,91,,instant,ta,210,ba,210
seconds,91.5,,special,tb,50,,
seconds,104,,instant,ta,240,ba,240
seconds,104.5,,special,tb,50,,
seconds,117,,instant,ta,255,ba,255
seconds,117.5,,special,tb,50,,
seconds,130,,instant,ta,255,ba,255
