Trigger Type,Trigger From,Trigger To,Command Type,,,,
time,00.00.00,,instant,ta,0,ba,0
time,00.00.01,,special,tb,50,,
time,00.05.02,,instant,ta,30,ba,30
time,00.05.03,,special,tb,50,,
time,00.10.04,,instant,ta,60,ba,60
time,00.10.05,,special,tb,50,,
time,00.15.06,,instant,ta,90,ba,90
time,00.15.07,,special,tb,50,,
time,00.20.08,,instant,ta,120,ba,120
time,00.20.09,,special,tb,50,,
time,00.25.10,,instant,ta,150,ba,150
time,00.25.11,,special,tb,50,,
time,00.30.12,,instant,ta,180,ba,180
time,00.30.13,,special,tb,50,,
time,00.35.14,,instant,ta,210,ba,210
time,00.35.15,,special,tb,50,,
time,00.40.16,,instant,ta,240,ba,240
time,00.40.17,,special,tb,50,,
time,00.45.18,,instant,ta,255,ba,255
time,00.45.19,,special,tb,50,,
